state_fips_code,state_name,forecast_date,prediction_date,new_confirmed,cumulative_confirmed,new_deaths,cumulative_deaths,hospitalized_patients,intensive_care_patients,ventilator_patients,recovered,new_confirmed_ground_truth,cumulative_confirmed_ground_truth,new_deaths_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,intensive_care_patients_ground_truth,ventilator_patients_ground_truth,recovered_documented_ground_truth
56,Wyoming,2020-08-24,2020-05-27,,,,,,,,,10.0,860.0,1.0,14.0,12.0,,,607.0
37,North Carolina,2020-08-24,2020-05-27,,,,,,,,,461.0,24916.0,43.0,844.0,702.0,,,14954.0
24,Maryland,2020-08-24,2020-05-27,,,,,,,,,736.0,48423.0,59.0,2392.0,1338.0,520.0,,3401.0
25,Massachusetts,2020-08-24,2020-05-27,,,,,,,,,602.0,97376.0,74.0,6546.0,2106.0,556.0,,
54,West Virginia,2020-08-24,2020-05-27,,,,,,,,,125.0,1899.0,2.0,74.0,36.0,13.0,6.0,1191.0
23,Maine,2020-08-24,2020-05-27,,,,,,,,,28.0,2137.0,2.0,81.0,59.0,25.0,14.0,1357.0
41,Oregon,2020-08-24,2020-05-27,,,,,,,,,71.0,4038.0,0.0,148.0,146.0,35.0,16.0,1795.0
05,Arkansas,2020-08-24,2020-05-27,,,,,,,,,97.0,6277.0,1.0,120.0,108.0,,22.0,4424.0
32,Nevada,2020-08-24,2020-05-27,,,,,,,,,93.0,8150.0,8.0,402.0,435.0,108.0,48.0,401.0
11,District of Columbia,2020-08-24,2020-05-27,,,,,,,,,72.0,8406.0,5.0,445.0,349.0,113.0,76.0,1082.0
29,Missouri,2020-08-24,2020-05-27,,,,,,,,,136.0,11786.0,2.0,757.0,644.0,,84.0,
22,Louisiana,2020-08-24,2020-05-27,,,,,,,,,443.0,38497.0,21.0,2723.0,798.0,,100.0,28700.0
26,Michigan,2020-08-24,2020-05-27,,,,,,,,,375.0,56738.0,68.0,5506.0,882.0,388.0,272.0,33168.0
